step,tokens_seen,elapsed_seconds,split,loss,learning_rate,gradient_norm,tokens_per_second,peak_gpu_memory_mib
170,5570560,15.214926,train,2.76849651,0.000999883542885,0.30025095,561959.33,13073.10
171,5603328,15.271352,train,2.77485991,0.00099988019192,0.28840828,562215.18,13073.10
172,5636096,15.328269,train,2.74785948,0.000999876793433,0.28060934,562398.38,13073.10
173,5668864,15.385300,train,2.76423931,0.000999873347424,0.28393459,562561.56,13073.10
174,5701632,15.441676,train,2.73418617,0.000999869853892,0.31016278,562805.90,13073.10
175,5734400,15.498363,train,2.77430677,0.000999866312838,0.28594148,563003.97,13073.10
176,5767168,15.554683,train,2.78580570,0.000999862724263,0.30448890,563243.63,13073.10
177,5799936,15.611669,train,2.74641085,0.000999859088167,0.39306301,563393.41,13073.10
178,5832704,15.667893,train,2.76965666,0.00099985540455,0.35920036,563634.23,13073.10
179,5865472,15.724810,train,2.65482235,0.000999851673413,0.29770452,563783.91,13073.10
180,5898240,15.782391,train,2.73967648,0.000999847894756,0.32402924,563849.52,13073.10
181,5931008,15.839325,train,2.68421173,0.000999844068579,0.36224246,563990.94,13073.10
182,5963776,15.895681,train,2.74966860,0.000999840194883,0.28948998,564197.58,13073.10
183,5996544,15.952415,train,2.68144798,0.000999836273669,0.28191999,564354.96,13073.10
184,6029312,16.008877,train,2.70282745,0.000999832304936,0.35570577,564540.25,13073.10
185,6062080,16.065416,train,2.68748164,0.000999828288686,0.29114309,564712.54,13073.10
186,6094848,16.121810,train,2.71538162,0.000999824224918,0.35666063,564897.22,13073.10
187,6127616,16.178450,train,2.62414289,0.000999820113633,0.31773442,565050.27,13073.10
188,6160384,16.234804,train,2.65176058,0.000999815954832,0.30199826,565231.65,13073.10
189,6193152,16.291244,train,2.63224339,0.000999811748514,0.35626221,565399.64,13073.10
190,6225920,16.348347,train,2.69572449,0.000999807494681,0.29848740,565492.03,13073.10
191,6258688,16.405442,train,2.65448833,0.000999803193332,0.34892240,565583.26,13073.10
192,6291456,16.462468,train,2.63100457,0.000999798844469,0.35361961,565679.93,13073.10
193,6324224,16.519207,train,2.62777829,0.000999794448092,0.33406335,565804.70,13073.10
194,6356992,16.575891,train,2.67216420,0.0009997900042,0.31664485,565932.51,13073.10
195,6389760,16.633227,train,2.67491579,0.000999785512795,0.33926478,565990.62,13073.10
196,6422528,16.690418,train,2.68463063,0.000999780973878,0.31710547,566062.40,13073.10
197,6455296,16.746522,train,2.62678194,0.000999776387447,0.36475003,566242.29,13073.10
198,6488064,16.803308,train,2.69066882,0.000999771753505,0.31770056,566350.42,13073.10
199,6520832,16.859862,train,2.66779995,0.000999767072052,0.34732732,566479.41,13073.10
200,6553600,16.916615,train,2.56305408,0.000999762343087,0.33175662,566586.33,13073.10
200,6553600,17.252625,valid,2.63095692,0.000999762343087,,566586.33,13073.10
201,6586368,17.407425,train,2.62827325,0.000999757566612,0.34245473,213509.47,13073.10
202,6619136,17.463720,train,2.57842922,0.000999752742627,0.34265313,312421.24,13073.10
203,6651904,17.521233,train,2.61210608,0.000999747871133,0.31044176,367792.28,13073.10
204,6684672,17.577970,train,2.53425765,0.00099974295213,0.35408953,404519.90,13073.10
205,6717440,17.634963,train,2.63821864,0.000999737985618,0.36000642,430013.53,13073.10
206,6750208,17.691600,train,2.62887049,0.000999732971598,0.31105092,449237.66,13073.10
207,6782976,17.748013,train,2.61705184,0.000999727910071,0.33092955,464266.17,13073.10
208,6815744,17.804220,train,2.59398961,0.000999722801038,0.36434934,476393.24,13073.10
209,6848512,17.861398,train,2.57814956,0.000999717644497,0.34918368,485494.71,13073.10
210,6881280,17.918039,train,2.69521570,0.000999712440452,0.35150763,493429.02,13073.10
211,6914048,17.974756,train,2.59264708,0.000999707188901,0.37473410,500064.22,13073.10
212,6946816,18.031297,train,2.64819288,0.000999701889845,0.34575787,505844.82,13073.10
213,6979584,18.087871,train,2.59853220,0.000999696543285,0.36951634,510821.56,13073.10
214,7012352,18.144716,train,2.55169463,0.000999691149222,0.33375975,515009.61,13073.10
215,7045120,18.201734,train,2.62641144,0.000999685707656,0.33268112,518599.98,13073.10
216,7077888,18.258758,train,2.59900618,0.000999680218587,0.29720423,521780.04,13073.10
217,7110656,18.315674,train,2.58517027,0.000999674682017,0.30808783,524672.42,13073.10
218,7143424,18.372382,train,2.55323172,0.000999669097945,0.30650964,527367.86,13073.10
219,7176192,18.429099,train,2.59195161,0.000999663466373,0.29868424,529799.23,13073.10
220,7208960,18.486066,train,2.56822968,0.000999657787301,0.29791519,531898.69,13073.10
221,7241728,18.543006,train,2.52034831,0.000999652060729,0.32488212,533823.89,13073.10
222,7274496,18.599336,train,2.62875271,0.000999646286659,0.29584035,535829.16,13073.10
223,7307264,18.656140,train,2.54196954,0.00099964046509,0.30078816,537491.32,13073.10
224,7340032,18.713124,train,2.52434683,0.000999634596024,0.32290706,538957.53,13073.10
225,7372800,18.770801,train,2.54727244,0.000999628679461,0.29387805,540066.83,13073.10
226,7405568,18.827674,train,2.57365036,0.000999622715402,0.29786074,541371.26,13073.10
227,7438336,18.884101,train,2.48994946,0.000999616703846,0.28321457,542733.05,13073.10
228,7471104,18.941014,train,2.51051092,0.000999610644796,0.28754151,543847.40,13073.10
229,7503872,18.997950,train,2.51332092,0.000999604538251,0.28416929,544881.20,13073.10
230,7536640,19.054011,train,2.55949020,0.000999598384213,0.31380853,546115.24,13073.10
231,7569408,19.111739,train,2.48892403,0.000999592182681,0.28505385,546783.99,13073.10
232,7602176,19.168282,train,2.51609612,0.000999585933657,0.31053662,547751.07,13073.10
233,7634944,19.225279,train,2.51946115,0.000999579637141,0.33617270,548535.99,13073.10
234,7667712,19.282291,train,2.45821381,0.000999573293134,0.29893452,549273.02,13073.10
235,7700480,19.339116,train,2.55891323,0.000999566901636,0.28939432,550019.09,13073.10
236,7733248,19.395917,train,2.50157261,0.000999560462649,0.29535973,550731.61,13073.10
237,7766016,19.452610,train,2.50369716,0.000999553976172,0.28463611,551434.53,13073.10
238,7798784,19.509273,train,2.49979401,0.000999547442207,0.28602731,552109.36,13073.10
239,7831552,19.566713,train,2.46867418,0.000999540860755,0.33145636,552565.56,13073.10
240,7864320,19.623340,train,2.50681973,0.000999534231815,0.31428912,553189.18,13073.10
241,7897088,19.680056,train,2.47884035,0.000999527555389,0.29408497,553763.56,13073.10
242,7929856,19.737222,train,2.52029991,0.000999520831477,0.30584982,554211.18,13073.10
243,7962624,19.794291,train,2.55008936,0.00099951406008,0.32536691,554659.78,13073.10
244,7995392,19.851565,train,2.46842432,0.000999507241199,0.29571450,555044.79,13073.10
245,8028160,19.908337,train,2.49498367,0.000999500374834,0.31483069,555518.47,13073.10
246,8060928,19.965355,train,2.53350544,0.000999493460987,0.30356738,555921.71,13073.10
247,8093696,20.022174,train,2.51759338,0.000999486499657,0.29832542,556348.36,13073.10
248,8126464,20.078944,train,2.45150471,0.000999479490847,0.29683667,556767.60,13073.10
249,8159232,20.135440,train,2.47580719,0.000999472434555,0.28758219,557223.15,13073.10
250,8192000,20.191606,train,2.46041036,0.000999465330784,0.29960638,557724.05,13073.10
251,8224768,20.249048,train,2.49999118,0.000999458179534,0.30738518,557968.18,13073.10
252,8257536,20.305754,train,2.51109743,0.000999450980805,0.29222491,558337.64,13073.10
253,8290304,20.362758,train,2.44439340,0.000999443734599,0.30569398,558640.07,13073.10
254,8323072,20.420314,train,2.53407240,0.000999436440916,0.28840423,558834.38,13073.10
255,8355840,20.477024,train,2.45082188,0.000999429099757,0.30198693,559168.44,13073.10
256,8388608,20.533570,train,2.49851704,0.000999421711123,0.34506342,559518.81,13073.10
257,8421376,20.590540,train,2.43494797,0.000999414275014,0.29455149,559786.17,13073.10
258,8454144,20.647309,train,2.37337828,0.000999406791432,0.31358460,560077.70,13073.10
259,8486912,20.704200,train,2.44941854,0.000999399260377,0.32906473,560339.89,13073.10
260,8519680,20.760955,train,2.44565344,0.000999391681849,0.29068273,560615.34,13073.10
261,8552448,20.817624,train,2.45754981,0.00099938405585,0.31710026,560895.58,13073.10
262,8585216,20.874199,train,2.36271858,0.000999376382381,0.27101606,561181.66,13073.10
263,8617984,20.931195,train,2.43159413,0.000999368661442,0.28971574,561394.55,13073.10
264,8650752,20.988131,train,2.45458412,0.000999360893034,0.30018038,561609.94,13073.10
265,8683520,21.044491,train,2.48430252,0.000999353077158,0.34074771,561904.30,13073.10
266,8716288,21.101527,train,2.37857008,0.000999345213815,0.32575145,562091.26,13073.10
267,8749056,21.158076,train,2.48667502,0.000999337303006,0.29007068,562342.75,13073.10
268,8781824,21.215312,train,2.34888959,0.000999329344731,0.32413960,562489.65,13073.10
269,8814592,21.271919,train,2.39138627,0.000999321338991,0.32914284,562720.42,13073.10
270,8847360,21.328512,train,2.42740297,0.000999313285787,0.27973452,562946.66,13073.10
271,8880128,21.385446,train,2.43946075,0.000999305185121,0.34525916,563120.18,13073.10
272,8912896,21.442496,train,2.40634227,0.000999297036992,0.32805839,563273.40,13073.10
273,8945664,21.499417,train,2.37605715,0.000999288841402,0.30548391,563439.84,13073.10
274,8978432,21.556052,train,2.45542955,0.000999280598351,0.34062579,563639.23,13073.10
275,9011200,21.613228,train,2.49368858,0.000999272307841,0.34836206,563763.37,13073.10
276,9043968,21.670090,train,2.44764662,0.000999263969872,0.30575272,563924.45,13073.10
277,9076736,21.726802,train,2.40367174,0.000999255584445,0.32648599,564100.29,13073.10
278,9109504,21.783931,train,2.37218809,0.000999247151562,0.35439995,564219.78,13073.10
279,9142272,21.841611,train,2.36637020,0.000999238671222,0.32027757,564268.57,13073.10
280,9175040,21.898738,train,2.39575386,0.000999230143427,0.29560679,564383.33,13073.10
281,9207808,21.955435,train,2.39284229,0.000999221568178,0.32580599,564547.01,13073.10
282,9240576,22.011916,train,2.30249977,0.000999212945476,0.29710856,564732.28,13073.10
283,9273344,22.068455,train,2.35279655,0.000999204275321,0.30165347,564906.51,13073.10
284,9306112,22.125019,train,2.35002255,0.000999195557715,0.31789264,565073.73,13073.10
285,9338880,22.182392,train,2.40598774,0.000999186792658,0.33393392,565144.28,13073.10
286,9371648,22.238986,train,2.38358808,0.000999177980151,0.28642392,565301.71,13073.10
287,9404416,22.295579,train,2.39953518,0.000999169120196,0.30729154,565455.56,13073.10
288,9437184,22.352403,train,2.41188550,0.000999160212793,0.29203081,565580.40,13073.10
289,9469952,22.409342,train,2.45077848,0.000999151257943,0.30269271,565689.83,13073.10
290,9502720,22.465858,train,2.42296028,0.000999142255647,0.30154803,565842.85,13073.10
291,9535488,22.522776,train,2.37893677,0.000999133205906,0.30122617,565949.47,13073.10
292,9568256,22.579858,train,2.42277765,0.000999124108721,0.28912666,566036.22,13073.10
293,9601024,22.636382,train,2.37686229,0.000999114964093,0.31064942,566179.91,13073.10
294,9633792,22.692594,train,2.42680502,0.000999105772024,0.32995087,566353.19,13073.10
295,9666560,22.750203,train,2.43284845,0.000999096532512,0.34313768,566378.75,13073.10
296,9699328,22.806585,train,2.40692616,0.000999087245561,0.32150152,566529.04,13073.10
297,9732096,22.863864,train,2.38633490,0.000999077911171,0.31129491,566585.66,13073.10
298,9764864,22.920722,train,2.37656069,0.000999068529342,0.33778518,566683.32,13073.10
299,9797632,22.977639,train,2.36209106,0.000999059100077,0.32480326,566773.11,13073.10
300,9830400,23.034317,train,2.35010290,0.000999049623375,0.33013511,566884.62,13073.10
300,9830400,23.370632,valid,2.35184481,0.000999049623375,,566884.62,13073.10
301,9863168,23.522207,train,2.33740330,0.000999040099238,0.30966344,217797.46,13073.10
302,9895936,23.580052,train,2.38697624,0.000999030527667,0.31619582,314627.18,13073.10
303,9928704,23.636955,train,2.36269140,0.000999020908662,0.31483546,370678.92,13073.10
304,9961472,23.694038,train,2.45435190,0.000999011242226,0.30564955,406697.98,13073.10
305,9994240,23.751076,train,2.36718678,0.000999001528358,0.31078202,431929.67,13073.10
306,10027008,23.808556,train,2.30479813,0.000998991767061,0.30292416,450108.85,13073.10
307,10059776,23.865563,train,2.38498974,0.000998981958334,0.30567873,464503.87,13073.10
308,10092544,23.922750,train,2.34029293,0.000998972102179,0.32256722,475764.63,13073.10
309,10125312,23.979464,train,2.37707853,0.000998962198597,0.30107144,485284.48,13073.10
310,10158080,24.036221,train,2.36636305,0.00099895224759,0.30476391,493147.70,13073.10
311,10190848,24.093398,train,2.32200503,0.000998942249157,0.29949185,499481.93,13073.10
312,10223616,24.150085,train,2.34655333,0.000998932203301,0.29468355,505204.34,13073.10
313,10256384,24.207262,train,2.34383678,0.000998922110021,0.30120125,509851.12,13073.10
314,10289152,24.264214,train,2.33867979,0.000998911969321,0.28926641,514031.43,13073.10
315,10321920,24.321795,train,2.34291053,0.000998901781199,0.30630970,517367.44,13073.10
316,10354688,24.378764,train,2.39396238,0.000998891545658,0.29676595,520638.46,13073.10
317,10387456,24.435831,train,2.36683631,0.000998881262698,0.28119770,523511.38,13073.10
318,10420224,24.492904,train,2.32114863,0.000998870932321,0.29877868,526088.47,13073.10
319,10452992,24.549971,train,2.41738224,0.000998860554528,0.30933711,528419.34,13073.10
320,10485760,24.606516,train,2.39675450,0.00099885012932,0.30127180,530758.58,13073.10
321,10518528,24.663678,train,2.32086802,0.000998839656697,0.29551259,532638.48,13073.10
322,10551296,24.720701,train,2.36478400,0.000998829136662,0.39616600,534414.13,13073.10
323,10584064,24.777512,train,2.32497716,0.000998818569214,0.38864961,536126.46,13073.10
324,10616832,24.834308,train,2.30871153,0.000998807954356,0.30234152,537711.53,13073.10
